Er det bæredygtigt? 9. - 10. ,Aalborg,Museum,Utzon Center,,,,,,,,,,9. klasse,10. klasse,,,Udskoling,,,,,Ressoucer,Energi ,Andet,https://aabenaalborg.dk/grundskole/er-det-b%C3%A6redygtigt-0,,,,,,,,,,,,
Arkitektik og Matematur 1. - 3. ,Aalborg,Museum,Utzon Center,,1. klasse,2. klasse,3. klasse,,,,,,,,Inskoling,,,Natur,,,,,,Andet,https://aabenaalborg.dk/grundskole/arkitektik-og-matematur,,,,,,,,,,,,
Skoletjenesten på Egholm og i Fjordhuset 4. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,,,,,4. klasse,,,,,,,,Mellemtrin,,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/skoletjenesten-p%C3%A5-egholm-og-i-fjordhuset,,,,,,,,,,,,
Skoletjenesten i Fjordhuset og på Egholm 8. - 9. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,,,,,,,,,8. klasse,9. klasse,,,,Udskoling,Natur,,,,Ressourcer,,,https://aabenaalborg.dk/grundskole/skoletjenesten-i-fjordhuset-og-p%C3%A5-egholm,,,,,,,,,,,,
Skoletjenesten Egholm og Fjordhuset 0. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,0. klasse,,,,,,,,,,,Indskolingen,,,Natur,,,,,,,https://aabenaalborg.dk/grundskole/skoletjenesten-egholm-og-fjordhuset,,,,,,,,,,,,
Skoletjenesten i Infohuset i Østerådalen 5. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,,,,,,5. klasse,,,,,,,Mellemtrin,,Natur,,,,,,,https://aabenaalborg.dk/grundskole/skoletjenesten-i-infohuset-%C3%B8ster%C3%A5dalen,,,,,,,,,,,,
Naturvidenskabsfestival 6. - 10. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,,,,,,,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,,Mellemtrin,Udskoling,Natur,,Klima,,,,Andet,https://aabenaalborg.dk/grundskole/naturvidenskabsfestival-og-skoletjenesten,,,,,,,,,,,,
Haver til Maver 0. - 10. ,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,Indskoling,Mellemtrin,Udskoling,Natur,,,Fødevarer,,,,https://skoletjenesten.aalborg.dk/tilbud/haver-til-maver,,,,,,,,,,,,
Youths go green 7. - 8. ,Aalborg,Andre aktører,"AAK, Center for grøn omstilling",,,,,,,,7. klasse,8. klasse,,,,,Udskoling,,Sundhed,,,Ressourcer,Energi,,https://www.youthsgogreen.dk/resultater/,,,,,,,,,,,,
Bliv NaturligVis 0. - 10. ,Aalborg,Andre aktører,Foreningsplaymaker,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,Natur,,,,,,,https://aabenaalborg.dk/grundskole/bliv-naturligvis,,,,,,,,,,,,
"Rundvisning (pt coronalukket, ikke angivet trin)",Aalborg,Virksomhed,RenoNord,,,,,,,,,,,,,,,,,,,Ressourcer,Energi,,https://renonord.dk/info-og-besoeg/skolebesoeg-og-rundvisninger,,,,,,,,,,,,
Besøg Renseanlæg Vest 7. - 9. ,Aalborg,Virksomhed,Aalborg Forsyning,,,,,,,,7. klasse,8. klasse,9. klasse,10. klasse,,,Udskoling,,,,,Ressourcer,,,https://aalborgforsyning.dk/privat/skoler/undervisningsforlob/,,,,,,,,,,,,
Gårdbesøg 0. - 9. ,Aalborg,Virksomhed,Landbrug & Fødevarer,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,Indskoling,Mellemtrin,Udskoling,,,,Fødevarer,Ressourcer,,,https://skolenivirkeligheden.dk/aalborg/forloeb/naturfag-teknologi/landbrug-og-fodevarer-gardbesog,,,,,,,,,,,,
ENGINEER THE FUTURE BOOK EN EKSPERT 4. - 9. ,Aalborg,Virksomhed,Book en ekspert,,,,,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,,Mellemtrin,Udskoling,,,Klima,,Ressourcer,Energi,,https://skolenivirkeligheden.dk/aalborg/forloeb/natur-friluftsliv/engineer-the-future-book-en-ekspert,,,,,,,,,,,,
Fisker for en dag 0. - 6. ,Aalborg,Andre aktører,Dansk Amatørfiskerforening,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,,,,,Indskoling,Mellemtrin,,Natur,,,Fødevarer,,,,https://skolenivirkeligheden.dk/aalborg/forloeb/naturfag-teknologi/bliv-fisker-for-en-dag,,,,,,,,,,,,
Up - cycling forny det kasserede 4. - 9. ,Aalborg,Virksomhed,Begitte Lynge Andersen,,,,,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,,Mellemtrin,Udskoling,,,,,Ressourcer,,,https://skolenivirkeligheden.dk/aalborg/forloeb/kreativitet/gaesteatelier-hollufgard-up-cycling-forny-det-kasserede,,,,,,,,,,,,
Den klimavenlige skole 7. ,Aalborg,Virksomhed,Uggerly Installation,,,,,,,,7. klasse,,,,,,Udskoling,,,,,Ressourcer,Energi,,https://skolenivirkeligheden.dk/aalborg/forloeb/matematik/den-klimavenlige-skole-14,,,,,,,,,,,,
Elforbrug og energirigtige skoler 7. ,Aalborg,Virksomhed,Erik Fals A/S,,,,,,,,7. klasse,,,,,,Udskoling,,,,,Ressourcer,Energi,,https://skolenivirkeligheden.dk/aalborg/forloeb/fysik-kemi/elforbrug-og-energirigtige-skoler-33,,,,,,,,,,,,
"Vinden på stranden, skoler 0. - 7. ",Aalborg,Forening,Børnenes Lystfisker Akademi,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,,,,Indskoling,Mellemtrin,Udskoling,Natur,,,,Ressourcer,Energi,,https://skolenivirkeligheden.dk/aalborg/forloeb/natur-friluftsliv/vinden-pa-stranden-skoler-1,,,,,,,,,,,,
ARLA Food designer 6. ,Aalborg,Virksomhed,Arla,,,,,,,6. klasse,,,,,,Mellemtrin,,,,,Fødevarer,,,,https://skolenivirkeligheden.dk/aalborg/forloeb/bevaegelse-sundhed/arla-food-designer-skoleudgaven,,,,,,,,,,,,
Metal og muligheder 6. ,Aalborg,Virksomhed,NES Maskinværksted,,,,,,,6. klasse,,,,,,Mellemtrin,,,,,,Ressourcer,,,https://skolenivirkeligheden.dk/aalborg/forloeb/natur-teknologi/metal-og-muligheder-19,,,,,,,,,,,,
Metal og muligheder 6. ,Aalborg,Virksomhed,Bobach stålentriprise,,,,,,,6. klasse,,,,,,Mellemtrin,,,,,,Ressourcer,,,https://skolenivirkeligheden.dk/aalborg/forloeb/natur-teknologi/metal-og-muligheder-6,,,,,,,,,,,,
Besøg en byggeplads 4. - 9. ,Aalborg,Virksomhed,Dansk Byggeri,,,,,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,,Mellemtrin,Udskoling,,,,,Ressourcer,Energi,,https://skolenivirkeligheden.dk/aalborg/forloeb/erhverv/besog-en-byggeplads-1,,,,,,,,,,,,
DI Skolen på byggepladsen 4. - 9. ,Aalborg,Virksomhed,Dansk Industri,,,,,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,,Mellemtrin,Udskoling,,,,,Ressourcer,Energi,,https://skolenivirkeligheden.dk/aalborg/forloeb/erhverv/di-skolen-pa-byggepladsen,,,,,,,,,,,,
Innovation Mellervangskolen 0.-10.,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,,,,,,,,https://aabenaalborg.dk/grundskole/innovation-mellervangskolen-og-skoletjenesten,,,,,,,,,,,,
MakerSpace 9220 0.-10.,Aalborg,Skoletjenesten,Skoleforvaltningens skoletjeneste,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,,,,,,,,https://aabenaalborg.dk/grundskole/makerspace-9220-og-skoletjenesten,,,,,,,,,,,,
Gastronomi og bæredygtighed 8.,Aalborg,Virksomhed,Erhvervsplaymaker,,,,,,,,7. klasse,8. klasse,9. klasse,,,,Udskoling,,,Klima,Fødevarer,,,,https://grontaalborg.dk/projekt/gastronomi-og-baeredygtighed/,,,,,,,,,,,,
